
ENH_SNAVN ENH_SSROBJ_ID ENH_SSR_ID ENH_SNAVN
Renselskardet 241530 1071691 Raentseredurrie
Rurukklumpen 241528 341476 Rorketjahke
Gruksfjellet 241524 341474 Kroehkestahke
Beinvassdalen 241523 338570 Garhtameskie
Sultifiskflyen 241522 341475 Tjuenjerenjaevrie
Strokken 2625263 1071413 Strohke
Sultifiskelva 2625258 1071407 Tjuenjeren-johke
Fuglleikhøgda 2625245 1071392 Aesie
Djupskardet 236511 338530 Væjroelåemie
Brattfjellet 2625682 1071866 Braahkoe-vaelie
Gudfjellet 2624291 1070370 Tjåehkere
Arn-Olsabekkan 2625706 1071897 Aallije-johke
Finnhusbekken 2625705 1071895 Gåetie-johke
Rurukelva 2625704 1071893 Rorrehke-johke
Finnburselva 2625306 1071462 Buvrie-johke
Flatruet 2624349 1070447 Pliehtje-vaartoe
Bjørkvassklumpen 2624347 1070445 Såekie-vaartoe
Kimaelva 241244 242974 Tjiermejohke
Gammeltjønna 2625001 1071131 Gåetie-tjonne
Langtjønna 244281 245997 Guhkiesjaavretje
Namsvassdammen 2624936 1071061 Nååvmesjen-luspie
Krutangen 2624904 1071028 Giedtie-njuana
Storfossen 2625625 1071803 Stoerre-garse
Virmaneset 2625624 1071802 Johke-gaske
Norddalsvika 2625622 1071799 Johkegasken-loekte
Norddalsbekken 2625619 1071795 Lohtere-johke
Sultifisktjønna 2625601 1071773 Jaassegen-tjonne
Storsundet 2203607 338703 Tjåelmie
Tangen 2624273 1070349 Stoerre-njuana
Sidevasshøgda 2625480 1071640 Sjapme
Midtielva 2625479 1071638 Sjapmen-johke
Orvasselva 2594291 1071637 Ovre-johke
Kirmadalen 2624340 1070432 Tjierme-vuemie
Auster_Huddingsvatnet 2594246 1071646 Otnege-jaevrie
Ruffienbauna 244255 245971 Ruffienbåvne
Holmvatnet 236681 238423 Såålejaevrie
Søre_Nyvika 241378 1070734 Orre-vijhke
Storfloen 241250 242980 Sjuevnjiesvaegkie
Austvatnet 241245 242975 Luvliejaevrie
Husviktjønnin 241238 242968 Gåetbielesdurrienjaevrieh
Vektarbotn 241230 242960 Speerregejaevrie
Litlvassklumpen 241204 242934 Vuakterenvaartoe
Litlvassklumpen 241204 400017 Speerregenvaartoe
Klumpen 241146 242877 Njuana
