soejedh	soejedh+V+IV+Inf
sjojmehke	sjojmehke+A+Attr
nonnehke	nonnehke+A+Attr
nynnehke	nynnehke+A+Attr
skeavehke	skeavehke+A+Attr
njalhke	njalhke+A+Attr
jabjohke	jabjohke+A+Attr
naarpohke	naarpohke+A+Attr
mïrhke	mïrhke+A+Attr
myvhke	myvhke+A+Attr
dïetjke	dïetjke+A+Attr
gïerkeske	gïerkeske+A+Attr
geesjele	geesjele+A+Attr
stååpele	stååpele+A+Attr
jalle	jalle+A+Attr
jaabne	jaabne+A+Attr
jïebne	jïebne+A+Attr
jeene	jeene+A+Attr
jarpe	jarpe+A+Attr
sïerre	sïerre+A+Attr
aavre	aavre+A+Attr
njoetse	njoetse+A+Attr
gabte	gabte+A+Attr
gaaste	gaaste+A+Attr
sïejve	sïejve+A+Attr
dolve	dolve+A+Attr
tjïerve	tjïerve+A+Attr
tjakngah	tjakngah+A+Attr
laabjah	laabjah+A+Attr
jabjah	jabjah+A+Attr
kråabjah	kråabjah+A+Attr
skalnjah	skalnjah+A+Attr
skålnjah	skålnjah+A+Attr
sleadtjah	sleadtjah+A+Attr
steadtjah	steadtjah+A+Attr
kråavhtjah	kråavhtjah+A+Attr
båavjah	båavjah+A+Attr
bagkah	bagkah+A+Attr
dearkah	dearkah+A+Attr
jåamah	jåamah+A+Attr
leapmah	leapmah+A+Attr
låabpah	låabpah+A+Attr
jarhpah	jarhpah+A+Attr
jåampah	jåampah+A+Attr
garrah	garrah+A+Attr
jåasah	jåasah+A+Attr
snjadtsah	snjadtsah+A+Attr
råadtsah	råadtsah+A+Attr
japtsah	japtsah+A+Attr
meartsah	meartsah+A+Attr
klåadtah	klåadtah+A+Attr
båajhtah	båajhtah+A+Attr
geamtah	geamtah+A+Attr
båantah	båantah+A+Attr
gaastah	gaastah+A+Attr
åajvah	åajvah+A+Attr
kråavvah	kråavvah+A+Attr
tjåkngoeh	tjåkngoeh+A+Attr
laabjoeh	laabjoeh+A+Attr
jabjoeh	jabjoeh+A+Attr
kråabjoeh	kråabjoeh+A+Attr
speanjoeh	speanjoeh+A+Attr
sleadtjoeh	sleadtjoeh+A+Attr
steadtjoeh	steadtjoeh+A+Attr
pleahtjoeh	pleahtjoeh+A+Attr
kranghtjoeh	kranghtjoeh+A+Attr
krånhtjoeh	krånhtjoeh+A+Attr
kråavhtjoeh	kråavhtjoeh+A+Attr
kråaptjoeh	kråaptjoeh+A+Attr
bagkoeh	bagkoeh+A+Attr
bågkoeh	bågkoeh+A+Attr
dånghkoeh	dånghkoeh+A+Attr
vealoeh	vealoeh+A+Attr
hagloeh	hagloeh+A+Attr
falloeh	falloeh+A+Attr
sjalloeh	sjalloeh+A+Attr
njavloeh	njavloeh+A+Attr
leapmoeh	leapmoeh+A+Attr
jåabpoeh	jåabpoeh+A+Attr
skråajhpoeh	skråajhpoeh+A+Attr
galhpoeh	galhpoeh+A+Attr
gålhpoeh	gålhpoeh+A+Attr
båmhpoeh	båmhpoeh+A+Attr
skabroeh	skabroeh+A+Attr
fæjhroeh	fæjhroeh+A+Attr
båavhroeh	båavhroeh+A+Attr
haarroeh	haarroeh+A+Attr
