lemma	mg_index	pos_hint	nob_ts	swe_placeholders
gaarene	1	N	mannfolk	mannfolk_SWE
gaase	1	N	gås	gås_SWE
gaatene	1	N	gate	gate_SWE
gaatna	1	Phrase	korsrygg på slakt	korsrygg på slakt_SWE
gaatnoe	1	N	kanne	kanne_SWE
gaatske	1	Phrase	nylig kastrert hannrein om høsten	nylig kastrert hannrein_SWE
gaavaldahke	1	N	rypesnare	rypesnare_SWE
gaavalohke	1	N	førerrein; leietam rein	førerrein_SWE
gaavelhkrievvie	1	Phrase	tam rein som lett følger mennesker	tam rein_SWE
gaavelhråantjoe	1	N	forganger; ukastrert leietam reinokse	forganer_SWE
gaavesh	1	Phrase	trang til å gjespe	trang til å gjespe_SWE
gaavnedimmie	1	N	møte	møte_SWE
gaavnedimmiesijjie	1	N	treffsted	treffsted_SWE
gadtse	1	N	negl; klo	negl_SWE
gadtsese	1		delen av bellingen som er nærmest kloven	delen av bellingen som er nærmest kloven_SWE
gaeblehkevoesse	1	Phrase	ryggsekk med lokk	ryggsekk med lokk_SWE
gaeblie	1	N	ryggsekklokk	ryggsekklokk_SWE
gaehtjie	1	Phrase	rykende ild uten flamme	rykende ild uten flamme_SWE
gaekere	1	N	september	september_SWE
gaertie	1	N	reingjerde	reingjerde_SWE
stååkegaevnie	1	N	leke	leke_SWE
gaevnievoesse	1	Phrase	pose til sysaker; pose til leker	pose til sysaker_SWE
gahke	1	Phrase	en som er stam	en som er stam_SWE
gahkestæjja	1	Phrase	person som er stam	person som er stam_SWE
galkeme	1	Phrase	sted i elv med sterk strøm	sted i elv med sterk strøm_SWE
galkije	1	Phrase	strøm i bekk	strøm i bekk_SWE
galte	1	N	stokk; kubbe	stokk_SWE
garmarimmie	1	N	fornøyelse	fornøyelse_SWE
garretsïengele	1	N	januar	januar_SWE
gaske	1	N	mellomrom	mellomrom_SWE
gaskebiejjie	1	Phrase	midt på dagen	midt på dagen_SWE
gaskebiejjie	2	N	middag	middag_SWE
gaskedaltese	1	N	mellomtrinn	mellomtrinn_SWE
gaskegïele	1	N	mellomspråk	mellomspråk_SWE
gaskejïjje	1	N	midnatt	midnatt_SWE
gaskeme	1	N	fyrtøy	fyrtøy_SWE
gaskese	1	N	forbindelse	forbindelse_SWE
geahpa	1	N	dyrelunge	dyrelunge_SWE
gearjoe	1	N	glede	glede_SWE
geasasråantjoe	1	Phrase	rein som drar pulk	rein som drar pulk_SWE
geasastahke	1	Phrase	del av seletøyet	del av seletøyet_SWE
geasastahkh	1	N	seletøy	seletøy_SWE
gebrie	1	Phrase	hardt føre som bærer	hardt føre som bærer_SWE
geehtije	1	N	vokter; overvåker	vokter_SWE
geehtijepolijse	1	N	overvåkningspoliti	overvåkningspoliti_SWE
geehtijepolitije	1	N	overvåkningspoliti	overvåkningspoliti_SWE
geelle	1	N	ektemann; husbond	ektemann_SWE
geellege	1	N	kone; hustru	kone_SWE
gejhkehke	1	N	vintersko	vintersko_SWE
gellientaale	1	N	flertall	flertall_SWE
gelmememierie	1	N	frysepunkt	frysepunkt_SWE
gernie	1	N	korn	korn_SWE
gertele	1	N	fiende	fiende_SWE
gevsie	1	Phrase	klandresyk person	klandresyk person_SWE
gïehtjedimmie	1	N	kontroll; overvåkning	kontroll_SWE
gielie	1	N	flyttelag	flyttelag_SWE
gïemhpestahke	1	N	bålkjepp; kjepp som man holder kaffekjelen med over bålet	bålkjepp_SWE
gierehtsepleahtjoe	1	N	akebrett	akebrett_SWE
giesememoere	1	Phrase	tre hvor det er festet skavjern for å trekke skinn gjennom for mykgjøring	tre hvor det er festet skavjern for å trekke skinn gjennom for mykgjøring_SWE
giesemeråantjoe	1	N	trekkrein	trekkrein_SWE
giesiedalhketjh	1	Phrase	husgeråd for sommeren	husgeråd for sommeren_SWE
gievlie	2	N	omkrets	omkrets_SWE
giltie	1	N	kyndelsmesse; messe til minne om Jesusbarnet den 2. februar	kyndelsmesse_SWE
gitaare	1	N	gitar	gitar_SWE
gobpe	1	N	gubbe; mann	gubbe_SWE
godterh	1	N	kuler; klumper	kuler_SWE
goehpe	1	N	mugg	mugg_SWE
goelkegaamege	1	N	skalle; skinnsko av bellinger med hårene på	skinnsko_SWE
goelmese	1	N	potetskall	potetskall_SWE
goelpeneståaroe	1	N	areal	areal_SWE
goere	1	N	mønster; sjablon	mønster_SWE
goerehtimmie	1	N	intervju	intervju_SWE
goerhte	1	N	kvarter	kvarter_SWE
goerkelimmie	1	N	forståelse; innblikk	forståelse_SWE
goerkesh	1	N	forstand	forstand_SWE
goerkesimmie	1	N	forståelse	forståelse_SWE
goerpe	1	N	uhell; skadevirkning	skadevirkning_SWE
goerpedajve	1	N	ulykkessted	ulykkessted_SWE
goerpemaaksoe	1	N	skadeerstatning	skadeerstatning_SWE
goetske	1	N	nøtteskrike	nøtteskrike_SWE
goglenasse	1	N	kvalme; spy	kvalme_SWE
gohkedæjja	1	N	periode; tidsrom	periode_SWE
gohtje	1	N	sot	sot_SWE
gorre	1	Phrase	dårlig kniv	dårlig kniv_SWE
gorredimmie	1	N	frelse	frelse_SWE
govkije	1	N	fakkel	fakkel_SWE
govne	1	N	aske	aske_SWE
graade	1	N	grad	grad_SWE
graanna	1	N	nabo	nabo_SWE
grafihkeguvvie	1	Phrase	grafisk bilde	grafisk bilde_SWE
gramme	1	N	gram	gram_SWE
groepte	1	N	grav	grav_SWE
gualetje	1	Phrase	liten fisk	liten fisk_SWE
guapamåvhkah	1	N	strømpebukser	strømpebukser_SWE
guedtede	1	N	kalvingstid	kalvingstid_SWE
guedtelesbaakoe	1	N	hovedord	hovedord_SWE
guedteme	1	N	bæring	bæring_SWE
guedtije	1	N	bærer	bærer_SWE
guelhtie	1	Phrase	kaldt vær om sommeren	kaldt vær_SWE
gueliefealloe	1	N	fiskefjøl	fiskefjøl_SWE
guelmie	1	N	utseende	utseende_SWE
guemie	1	N	gomme	gomme_SWE
guessie	1	N	gjest	gjest_SWE
guhkiesboelhke	1	N	stil	stil_SWE
guhkiesbuejtie	1	Phrase	den innerste del av tykktarmen nærmest småtarmene på reinslakt	den innerste del av tykktarmen_SWE
guhkiestjaalege	1	N	stil	stil_SWE
guhpie	1	Phrase	sprekk mellom snøbre og fjell	sprekk mellom snøbre og fjell_SWE
guhtsije	1	N	vakt	vakt_SWE
gullie	1	N	gull	gull_SWE
gurrie	1	N	snor	snor_SWE
gurruve	1	Phrase	tvunnet bånd; tvunnet garn	tvunnet bånd_SWE
gutnije	1	N	spion	spion_SWE
guvhkiehtæjja	1	N	reinlokker; person som går foran og lokker for at reinen skal komme etter	reinlokker_SWE
guvsie	1	Phrase	en som tror han er bedre enn han er	en som tror han er bedre enn han er_SWE
guvvieraajroe	1	N	tegneserie	tegneserie_SWE
gyhtselengåetie	1	N	sneglehus	sneglehus_SWE
györte	1	Phrase	lang smal ås med utsikt til begge sider	lang smal ås med utsikt til begge sider_SWE
gåahke	1	N	koftekrage; pelskrage	koftekrage_SWE
gåajvoe	1	N	ause	ause_SWE
gåalmehts	1	N	tredel	tredel_SWE
gåaltoehovme	1	Phrase	snøfokk langs bakken	snøfokk_SWE
gåarvahjuelkie	1	Phrase	hjulbeint person	hjulbeint person_SWE
gåarvoehjuelkie	1	Phrase	hjulbeint person	hjulbeint person_SWE
gåata	1	N	fortelling	fortelling_SWE
gåebleme	1	N	skare	skare_SWE
gåehpele	1	N	røy	røy_SWE
gåehtsuve	1	N	barnål	barnål_SWE
gåervie	1	N	krok	krok_SWE
gåeskie	1	Phrase	mors eldre søster	mors eldre søster_SWE
gåeskuve	1	Phrase	tantebarn til mors eldre søster	tantebarn til mors eldre søster_SWE
gåetehke	1	N	samboer	samboer_SWE
gåevie	1	N	krumming; bue	krumming_SWE
gåhkaldahke	1	N	avstand; strekning	avstand_SWE
gåhkoe	1	N	lengde	lengde_SWE
gåmma	1	N	kone; hustru	kone_SWE
gånka	1	N	konge	konge_SWE
gåpta	1	N	kjole	kjole_SWE
gårreldahke	1	Phrase	noe til å binde med	noe til å binde med_SWE
gårroe	1	N	gyting	gyting_SWE
gåvles	1	Phrase	løkke av lær for feste av bånd	løkke_SWE
gåårtenje	1	N	skinnreim; sene	reim_SWE
gåårtese	1	Phrase	oppholdssted for natten	oppholdssted for natten_SWE
gæljoje	1	Phrase	en som skriker	en som skriker_SWE
gærjasaerniestimmie	1	N	bokmelding	bokmelding_SWE
gærroe	1	N	bannskap; forbannelse	bannskap_SWE
gærroedimmie	1	N	banning	banning_SWE
gïehtelimmie	1	N	virksomhet; beskjeftigelse	virksomhet_SWE
gïehtjelimmie	1	N	fristelse	fristelse_SWE
gïelelåhkoe	1	N	språkforråd	språkforråd_SWE
gïelemaadtoe	1	N	språkopphav	språkopphav_SWE
gïelemaahtoe	1	N	språkkunnskap	språkkunnskap_SWE
gïeletsiehkie	1	N	språksammenheng; språksituasjon	språksammenheng_SWE
gïelevuelie	1	N	språkmelodi	språkmelodi_SWE
gïeleåtnoe	1	N	språkbruk; stemmebruk	språkbruk_SWE
gïerege	1	N	tretopp	tretopp_SWE
gïerhgietjie	1	N	topp; toppende	toppende_SWE
gïetedalleme	1	N	behandling	behandling_SWE
gïetenlïhtse	1	N	håndledd	håndledd_SWE
gïhpetje	1	Phrase	litt fløte eller rømme	litt fløte eller rømme_SWE
gïjrebiejjie	1	N	vårdag	vårdag_SWE
gïjredaelvie	1	N	vårvinter	vårvinter_SWE
gïjrelaante	1	N	vårland; vårbeiteland	vårland_SWE
gïjreniestie	1	N	vårslakt; slakterein som man skal ha til våren	vårslakt_SWE
gïjreråanjese	1	N	vårløysing	vårløysing_SWE
gïrre	1	N	bark	bark_SWE
göölemenåejjie	1	Phrase	gammel hannrein som ikke lenger feier hornene	gammel hannrein_SWE
gööthjerkie	1	N	leirplass	leirplass_SWE
haabpe	1	Phrase	øvre margbein på reinens framfot	øvre margbein på reinens framfot_SWE
haadtoe	1	N	hevn	hevn_SWE
haajhke	1	N	eik	eik_SWE
haakene	1	N	gjerde	gjerde_SWE
haaltjebielie	1	Phrase	dårlig side; svak side	dårlig side_SWE
haamoe	1	N	form	form_SWE
haanoehtimmie	1	N	tigging	tigging_SWE
haaskoe	1	N	rusk; smuss	rusk_SWE
haavre	1	N	havre	havre_SWE
haelieh	1	N	skinnspilepinner; pinner som brukes for å spile ut skinn på bakken	skinnspilepinner_SWE
haemie	1	N	utseende; skikkelse	utseende_SWE
haerhpie	1	N	plage; smerte	plage_SWE
haerie	1	N	kant	kant_SWE
haesteme	1	N	oppfordring	oppfordring_SWE
hammoe	1	N	form	form_SWE
heajme	1	N	hjem	hjem_SWE
healsoe	1	N	helse	helse_SWE
heaptoe	1	N	hinder	hinder_SWE
hearlohkevoete	1	N	herlighet	herlighet_SWE
hearre	1	N	storkar	storkar_SWE
hektogramme	1	N	hektogram	hektogram_SWE
hierkieskovhte	1	N	hesteskyss	hesteskyss_SWE
hille	1	N	sjanse; mulighet	sjanse_SWE
hokse	1	N	omsorg	omsorg_SWE
horhtje	1	Phrase	hannrein på andre året	hannrein på andre året_SWE
hurrehke	1	Phrase	hannrein på andre året; ung hannrein; liten hannrein; ung hanrein; liten hanrein; ung reinsbukk; liten reinsbukk; ung bukk; liten bukk; ungbukk	hannrein på andre året_SWE
huhteme	1	N	gjøing	gjøing_SWE
hujnie	1	N	mismot	mismot_SWE
hyölmesje	1	N	høydekurve	høydekurve_SWE
håaleme	1	N	tale	tale_SWE
håalhtje	1	N	balje	balje_SWE
håaloe	1	N	hull	hull_SWE
håanghke	1	Phrase	dyp kulp	dyp kulp_SWE
håevkie	1	N	haug; vedhaug	haug_SWE
snjyjremaana	1	N	skrikerunge	skrikerunge_SWE
håksoe	1	N	omsorg	omsorg_SWE
hååneske	1	N	honning	honning_SWE
hælla	1	N	hylle	hylle_SWE
hæmmoe	1	N	antydning	antydning_SWE
hïejhtege	1	Phrase	noe som er forkastet eller oppgitt	noe som er forkastet eller oppgitt_SWE
hïejmevoene	1	N	heimbygd	heimbygd_SWE
hïelje	1	N	helg	helg_SWE
identiteete	1	N	identitet	identitet_SWE
iehkede	1	N	kveld	kveld_SWE
iehtie	1	Phrase	noe man må bøte for	noe man må bøte for_SWE
ierielimmie	1	N	overraskelse	overraskelse_SWE
iermie	1	N	harme; fornærmethet	harme_SWE
ietnie	1	N	mor	mor_SWE
ietniengïeleööhpehtimmie	1	N	morsmålsopplæring	morsmålsopplæring_SWE
internaate	1	N	internat	internat_SWE
irhkedæjja	1	N	mobber	mobber_SWE
jaahkoe	1	N	tro	tro_SWE
jabpe	1	Phrase	slette mellom to elver	slette mellom to elver_SWE
jaemede	1	N	døden	døden_SWE
jaememe	1	N	døden	døden_SWE
jaepie	1	N	år	år_SWE
jaepieraaste	1	N	aldersgrense	aldersgrense_SWE
jaepietjåanghkoe	1	N	årsmøte	årsmøte_SWE
jalla	1	Phrase	flat og åpen dal	flat og åpen dal_SWE
jalladahke	1	N	forhøyning; høyde	forhøyning_SWE
jalnga	1	N	gate	gate_SWE
jarnge	1	N	midtpunkt; midtparti	midtpunkt_SWE
jassoe	1	N	tykkelse	tykkelse_SWE
jeatjahtehteme	1	N	forandring	forandring_SWE
jeavardahke	1	N	spekalvskinn	spekalvskinn_SWE
jeemegassje	1	N	dauing; lik	dauing_SWE
jeemege	1	N	dauing; lik	dauing_SWE
jemhkele	1	N	mørke	mørke_SWE
jiekie	1	Phrase	fars eldre bror	fars eldre bror_SWE
jielede	1	N	liv	liv_SWE
jielieguvvie	1	N	film	film_SWE
jielije	1	Phrase	en som lever	en som lever_SWE
jiellie	1	N	hest	hest_SWE
jiemie	1	Phrase	livmor med foster	livmor med foster_SWE
