svaatjkodh	svaatjkodh+V+TV+Der/d+V+Err/Orth+ConNeg
svaatjkodh	svaatjkodh+V+TV+Der/d+V+Err/Orth+Imprt+Sg2
svaatjkodh	svaatjkodh+V+TV+Der/d+V+Err/Orth+Ind+Prs+Sg2
svaatjkodh	svaatjkodh+V+TV+Inf

staaran	staaran+Adv

soelkehtasse	soelkehtasse+N+Sg+Nom

reerije	reeredh+V+TV+Der/NomAg+N+Sg+Nom
reerije	reeredh+V+TV+PrsPrc
reerije	reerije+N+Sg+Nom

lujjies	lujjies+A+Attr
lujjies	lujjies+A+Sg+Nom

luhkiegööktesh	luhkiegööktesh+N+Coll+Pl+Nom

laante-#åvtehke	laante-#åvtehke	+?

gïehtjelovvedh	gïehtjedh+V+TV+Der/l+V+Der/PassL+V+IV+Inf
gïehtjelovvedh	gïehtjelovvedh+V+IV+Inf
gïehtjelovvedh	gïehtjelidh+V+TV+Der/PassL+V+IV+Inf

båarka	båarka+N+Sg+Nom

aarmoe#vadtese	aarmoe#vadtese	+?

aamen	aamen+Interj

vïssjelesvoete	vissjedh+V+IV+Der/les+A+Cmp/Attr+Cmp#voete+N+Sg+Nom
vïssjelesvoete	vissjedh+V+IV+Der/les+A+Attr+Der/vuota+N+Err/Orth+Sg+Nom
vïssjelesvoete	vissjedh+V+IV+Der/les+A+Attr+Der/vuota+N+Sg+Nom
vïssjelesvoete	vissjedh+V+IV+Der/les+A+Cmp/SgNom+Cmp#voete+N+Sg+Nom
vïssjelesvoete	vïssjedh+V+IV+Der/les+A+Cmp/Attr+Cmp#voete+N+Sg+Nom
vïssjelesvoete	vïssjedh+V+IV+Der/les+A+Attr+Der/vuota+N+Err/Orth+Sg+Nom
vïssjelesvoete	vïssjedh+V+IV+Der/les+A+Attr+Der/vuota+N+Sg+Nom
vïssjelesvoete	vïssjedh+V+IV+Der/les+A+Cmp/SgNom+Cmp#voete+N+Sg+Nom
vïssjelesvoete	vïssjeles+A+Cmp/Attr+Cmp#voete+N+Sg+Nom
vïssjelesvoete	vïssjeles+A+Attr+Der/vuota+N+Err/Orth+Sg+Nom
vïssjelesvoete	vïssjeles+A+Attr+Der/vuota+N+Sg+Nom
vïssjelesvoete	vïssjelesvoete+N+Sg+Nom

teempele-#sjåljoe	teempele-#sjåljoe	+?

muvre	muvre+N+Sg+Nom

meadtoelassje	meadtoelassje+A+Sg+Nom
meadtoelassje	meadtoelassje+A+Attr
meadtoelassje	meadtoelassje+N+Sg+Nom

jïjtjeråårehke	jïjtjeråårehke+N+Sg+Nom
jïjtjeråårehke	jïjtjeråårehke+A+Sg+Nom
jïjtjeråårehke	jïjtjeråårehke+A+Attr
jïjtjeråårehke	jïjtjeraareh+A+Sg+Nom
jïjtjeråårehke	jïjtjeraareh+A+Err/Orth+Attr

juvlelgidh	juvledh+V+TV+Der/lg+V+IV+Inf
juvlelgidh	juvledh+V+TV+Der/lg+V+IV+Ind+Prt+Pl2
juvlelgidh	juvlelgidh+V+IV+Inf
juvlelgidh	juvlelgidh+V+IV+Ind+Prt+Pl2

håajhtodh	håajhtodh+V+IV+Der/d+V+Err/Orth+ConNeg
håajhtodh	håajhtodh+V+IV+Der/d+V+Err/Orth+Imprt+Sg2
håajhtodh	håajhtodh+V+IV+Der/d+V+Err/Orth+Ind+Prs+Sg2
håajhtodh	håajhtodh+V+IV+Inf

gïemhpes#voete	gïemhpes#voete	+?

golmeluhkie	golmeluhkie+Num+Sg+Nom

vïedteldahke	vïedteldahke+N+Sg+Nom

trïegkenasse	trïegkenasse+N+Sg+Nom

såamesh	såamesh+Err/Orth+Pron+Coll+Pl+Nom
såamesh	såamesh+Pron+Coll+Pl+Nom

sjugniedimmie	sjugniedidh+V+TV+Der/NomAct+N+Sg+Nom
sjugniedimmie	sjugniedimmie+N+Sg+Nom

jienebh	jienebe+Pron+Indef+Pl+Nom
jienebh	jienebh+Adv+Comp

hearlohke	hearlohke+A+Sg+Nom
hearlohke	hearlohke+A+Attr

guhkiedidh	guhkiedidh+V+TV+Inf
guhkiedidh	guhkiedidh+V+TV+Ind+Prt+Pl2

gajhkoelidh	gajhkodh+V+TV+Der/l+V+Inf
gajhkoelidh	gajhkodh+V+TV+Der/l+V+Ind+Prt+Pl2
gajhkoelidh	gajhkoelidh+V+TV+Inf
gajhkoelidh	gajhkoelidh+V+TV+Ind+Prt+Pl2

gaerhteles	gaerhteles+A+Attr

væssjoeladtje	væssjoeladtje+A+Sg+Nom
væssjoeladtje	væssjoeladtje+A+Attr

tjelmiehtadtje	tjelmiehtadtje+A+Sg+Nom

sådteres	sådteres+A+Attr
sådteres	sådteres+A+Sg+Nom

stoere-#vïnhtse	stoere-#vïnhtse	+?

sluekies	sluekies+A+Attr
sluekies	sluekies+A+Sg+Nom

nåake#voete	nåake#voete	+?

minnie	minnie+N+Sg+Nom

keejsere	keejsere+N+Sg+Nom

ålja#båvne	ålja#båvne	+?

væhna	væhna+N+Sg+Nom

vaarenes	vaarenes+N+Sg+Nom

tsehkie	tsehkie+N+Sg+Nom

såårnesovvedh	saarnodh+V+TV+Der/PassL+V+IV+Inf
såårnesovvedh	såårnesovvedh+V+IV+Inf

slïerkevoete	slïerke+N+Cmp/SgNom+Cmp#voete+N+Sg+Nom
slïerkevoete	slïerkevoete+N+Sg+Nom

sjïdtedehtedh	sjïdtedidh+V+TV+Der/ht+V+TV+Inf
sjïdtedehtedh	sjïdtedehtedh+V+TV+Inf

raaje	raaje+N+Sg+Nom

påaske-#maalestahke	påaske-#maalestahke	+?

nïekedasse	nïekedasse+N+Sg+Nom

ledtedh	ledtedh+V+IV+Inf

laejrie	laejrie+N+Sg+Nom

hïejmehth	hïejmehth+A+Attr
hïejmehth	hïejmehth+A+Pl+Nom
hïejmehth	hïejmehth+A+Sg+Nom

gånkarïjhke	gånka+N+Cmp/SgNom+Cmp#rïjhke+N+Err/Orth+Sg+Nom
gånkarïjhke	gånka+N+Cmp/SgNom+Cmp#rïjhke+N+Sg+Nom
gånkarïjhke	gånkarïjhke+N+Sg+Nom

guhkiebasse	guhkies+A+Comp+Sg+Ill
guhkiebasse	guhkiebasse+Adv+Comp

gaarkehtidh	gaarkehtidh+V+TV+Inf
gaarkehtidh	gaarkehtidh+V+TV+Ind+Prt+Pl2

faamohth	faamohth+A+Attr
faamohth	faamohth+A+Pl+Nom
faamohth	faamohth+A+Sg+Nom

almetjebaernie	almetjebaernie+N+Sg+Nom
almetjebaernie	almetje+N+Cmp/SgNom+Cmp#baernie+N+Sg+Nom

almetje#krirrie	almetje#krirrie	+?

åvtele	åvtele+N+Sg+Nom

åvtehke#gaagkije	åvtehke#gaagkije	+?

åajvaladtjh	åajvaladtje+N+Pl+Nom
åajvaladtjh	åajvaladtjh+N+Pl+Nom

voepteh	voepte+N+Pl+Nom+Err/Orth
voepteh	voepteh+N+Pl+Nom

sådtoe-#sjïele	sådtoe-#sjïele	+?

nealkoe	nealkoe+N+Sg+Nom

löövles	löövles+A+Attr
löövles	löövles+A+Sg+Nom

leajmoedidh	leajmoedidh+V+TV+Inf
leajmoedidh	leajmoedidh+V+TV+Ind+Prt+Pl2

jïjjege	jïjje+N+Sg+Nom+Foc/ge
jïjjege	jïjjege+Adv

jaahkoeladtje	jaahkoeladtje+A+Sg+Nom
jaahkoeladtje	jaahkoeladtje+A+Attr

jaahkajidh	jaahkajidh+V+TV+Inf
jaahkajidh	jaahkajidh+V+TV+Ind+Prt+Pl2

galkedidh	galkedidh+V+TV+Inf
galkedidh	galkedidh+V+TV+Ind+Prt+Pl2

dïjre#guedtedh	dïjre#guedtedh	+?

dåapmoe#biejjie	dåapmoe#biejjie	+?

duvvege	duvvege+N+Sg+Nom

dielies	dielies+A+Attr
dielies	dielies+A+Sg+Nom

denaare	denaare+N+Sg+Nom

aajverds-vuelie	aajverds-vuelie+N+Sg+Nom

åvte	åvte+N+Sg+Nom
åvte	åvte+Pr
åvte	åvte+Po
åvte	åvte+Adv

åajja	åajja+N+Sg+Nom

vitnemevïere	vitnedh+V+TV+Der/NomAct+N+Cmp/SgNom+Cmp#vïere+N+Sg+Nom
vitnemevïere	vitneme+N+Cmp/SgNom+Cmp#vïere+N+Sg+Nom
vitnemevïere	vitnemevïere+N+Sg+Nom
vitnemevïere	vïtnedh+V+IV+Der/NomAct+N+Cmp/SgNom+Cmp#vïere+N+Sg+Nom

tjåarvehtasse	tjåarvehtasse+N+Sg+Nom

sikne	sikne+N+Sg+Nom

roenge-#bådtja	roenge-#bådtja	+?

madtjeldidh	madtjeldidh+V+IV+Inf
madtjeldidh	madtjeldidh+V+IV+Ind+Prt+Pl2

lååjkehks	lååjkehks+A+Attr

lyövlehke	lyövlehke+Adv

lyjre	læjrodh+V+IV+Ind+Prs+Sg3
